"ee.Taxon","Definition.x","Definition.y","N"
"human","Alzheimer's disease","gyrus",6
"human","Alzheimer's disease","limbic lobe",6
"human","neurodegenerative disease","limbic system",6
"human","neurodegenerative disease","limbic lobe",6
"human","central nervous system disease","olfactory lobe",6
"human","tauopathy","gyrus",6
"human","tauopathy","limbic lobe",6
"human","nervous system disease","olfactory lobe",6
"human","malignant glioma","cerebral hemisphere",6
"human","malignant glioma","forebrain",6
"human","malignant glioma","telencephalon",6
"human","central nervous system disease","parietal lobe",6
"human","nervous system disease","parietal lobe",6
"human","nervous system disease","diencephalon",6
"human","brain disease","frontal lobe",6
"mouse","prion disease","forebrain",6
"mouse","prion disease","regional part of brain",6
"mouse","prion disease","brain gray matter",6
"mouse","prion disease","gray matter of forebrain",6
"human","neurodegenerative disease","cerebellum",6
"human","neurodegenerative disease","telencephalic nucleus",6
"human","central nervous system disease","telencephalic nucleus",6
"human","nervous system disease","dorsal striatum",6
"human","nervous system disease","caudate-putamen",6
"rat","central nervous system disease","hippocampal field",6
"rat","central nervous system disease","CA1 field of hippocampus",6
"rat","nervous system disease","hippocampal field",6
"rat","nervous system disease","CA1 field of hippocampus",6
"rat","brain disease","hippocampal field",6
"rat","brain disease","CA1 field of hippocampus",6
"human","synucleinopathy","pallium",6
"human","synucleinopathy","ventral part of telencephalon",6
"human","synucleinopathy","corpus striatum",6
"human","synucleinopathy","cerebral cortex",6
"human","synucleinopathy","hindbrain",6
"human","synucleinopathy","striatum",6
"human","synucleinopathy","basal forebrain",6
"human","synucleinopathy","segmental subdivision of hindbrain",6
"human","synucleinopathy","basal nuclear complex",6
"human","neurodegenerative disease","brainstem",6
"human","Parkinson's disease","pallium",6
"human","Parkinson's disease","ventral part of telencephalon",6
"human","Parkinson's disease","corpus striatum",6
"human","Parkinson's disease","cerebral cortex",6
"human","Parkinson's disease","hindbrain",6
"human","Parkinson's disease","striatum",6
"human","Parkinson's disease","basal forebrain",6
"human","Parkinson's disease","segmental subdivision of hindbrain",6
"human","Parkinson's disease","basal nuclear complex",6
"human","Alzheimer's disease","cortex of cerebral lobe",6
"human","tauopathy","cortex of cerebral lobe",6
"human","Alzheimer's disease","hippocampal formation",6
"human","tauopathy","hippocampal formation",6
"human","neurodegenerative disease","motor neuron",6
"human","neurodegenerative disease","efferent neuron",6
"human","motor neuron disease","motor neuron",6
"human","motor neuron disease","efferent neuron",6
"human","central nervous system disease","motor neuron",6
"human","central nervous system disease","efferent neuron",6
"human","amyotrophic lateral sclerosis","neural cell",6
"human","nervous system disease","motor neuron",6
"human","nervous system disease","efferent neuron",6
"human","synucleinopathy","neuron",6
"human","synucleinopathy","dopaminergic neuron",6
"human","neurodegenerative disease","dopaminergic neuron",6
"human","Parkinson's disease","neuron",6
"human","Parkinson's disease","dopaminergic neuron",6
"human","central nervous system disease","dopaminergic neuron",6
"human","nervous system disease","dopaminergic neuron",6
"rat","brain ischemia","cerebral hemisphere",6
"rat","brain ischemia","forebrain",6
"rat","brain ischemia","telencephalon",6
"rat","brain ischemia","regional part of brain",6
"rat","cerebrovascular disease","pallium",6
"rat","cerebrovascular disease","cerebral cortex",6
"rat","cerebrovascular disease","brain gray matter",6
"rat","cerebrovascular disease","cerebral hemisphere gray matter",6
"rat","cerebrovascular disease","gray matter of telencephalon",6
"rat","cerebrovascular disease","gray matter of forebrain",6
"human","multiple sclerosis","brain",6
"human","demyelinating disease","brain",6
"mouse","central nervous system disease","frontal cortex",6
"mouse","central nervous system disease","neocortex",6
"mouse","central nervous system disease","frontal lobe",6
"mouse","central nervous system disease","cortex of cerebral lobe",6
"mouse","nervous system disease","frontal cortex",6
"mouse","nervous system disease","neocortex",6
"mouse","nervous system disease","frontal lobe",6
"mouse","nervous system disease","cortex of cerebral lobe",6
"mouse","brain ischemia","forebrain",6
"mouse","brain ischemia","telencephalon",6
"mouse","brain ischemia","regional part of brain",6
"mouse","cerebrovascular disease","brain gray matter",6
"mouse","cerebrovascular disease","gray matter of telencephalon",6
"mouse","cerebrovascular disease","gray matter of forebrain",6
"human","brain cancer","neuron associated cell",6
"human","brain cancer","glial cell",6
"human","brain cancer","glial cell (sensu Vertebrata)",6
"human","brain cancer","neural cell",6
"human","malignant glioma","neuron associated cell",6
"human","malignant glioma","glial cell",6
"human","malignant glioma","glial cell (sensu Vertebrata)",6
"human","malignant glioma","neural cell",6
"human","central nervous system cancer","neuron associated cell",6
"human","central nervous system cancer","glial cell",6
"human","central nervous system cancer","glial cell (sensu Vertebrata)",6
"human","central nervous system cancer","neural cell",6
"rat","neurodegenerative disease","ventral part of telencephalon",6
"rat","neurodegenerative disease","striatum",6
"rat","neurodegenerative disease","basal forebrain",6
"rat","neurodegenerative disease","basal nuclear complex",6
"rat","central nervous system disease","ventral part of telencephalon",6
"rat","central nervous system disease","striatum",6
"rat","central nervous system disease","basal forebrain",6
"rat","central nervous system disease","basal nuclear complex",6
"rat","nervous system disease","ventral part of telencephalon",6
"rat","nervous system disease","striatum",6
"rat","nervous system disease","basal forebrain",6
"rat","nervous system disease","basal nuclear complex",6
"mouse","Huntington's disease","pallium",6
"mouse","Huntington's disease","cerebral cortex",6
"mouse","Huntington's disease","cerebral hemisphere gray matter",6
"mouse","glioblastoma multiforme","brain",6
"mouse","astrocytoma","brain",6
"mouse","malignant glioma","brain",6
"mouse","neurodegenerative disease","macroglial cell",6
"mouse","epilepsy","pallium",6
"mouse","epilepsy","cerebral cortex",6
"mouse","epilepsy","cerebral hemisphere",6
"mouse","epilepsy","telencephalon",6
"mouse","epilepsy","hippocampal formation",6
"mouse","epilepsy","brain gray matter",6
"mouse","epilepsy","cerebral hemisphere gray matter",6
"mouse","epilepsy","gray matter of telencephalon",6
"mouse","epilepsy","gray matter of forebrain",6
"mouse","multiple sclerosis","brain",6
"mouse","demyelinating disease","brain",6
"mouse","central nervous system disease","CA1 field of hippocampus",6
"mouse","nervous system disease","CA1 field of hippocampus",6
"mouse","motor neuron disease","microglial cell",6
"mouse","motor neuron disease","central nervous system macrophage",6
"mouse","amyotrophic lateral sclerosis","microglial cell",6
"mouse","amyotrophic lateral sclerosis","central nervous system macrophage",6
"human","glioblastoma multiforme","metencephalon",5
"human","glioblastoma multiforme","hindbrain",5
"human","glioblastoma multiforme","cerebellum",5
"human","glioblastoma multiforme","segmental subdivision of hindbrain",5
"human","astrocytoma","metencephalon",5
"human","astrocytoma","hindbrain",5
"human","astrocytoma","cerebellum",5
"human","astrocytoma","segmental subdivision of hindbrain",5
"mouse","neurodegenerative disease","nucleus of brain",5
"mouse","central nervous system disease","nucleus of brain",5
"mouse","nervous system disease","nucleus of brain",5
"human","Alzheimer's disease","neural cell",5
"human","Alzheimer's disease","limbic system",5
"human","Alzheimer's disease","olfactory lobe",5
"human","neurodegenerative disease","olfactory lobe",5
"human","central nervous system disease","entorhinal cortex",5
"human","central nervous system disease","olfactory cortex",5
"human","central nervous system disease","parahippocampal gyrus",5
